Number of dictionaries
128
Dictionaries was updated on
July-19-2013
Filename,Filesize,Date,Dictionary,Words
ruvi.mdo,3428013,November-05-2012,Russian-Vietnamese,38039
sren.mdo,2491984,November-05-2012,Serbian-English,59641
sken.mdo,2619921,November-05-2012,Slovak-English,56812
skde.mdo,1822464,November-05-2012,Slovak-German,45421
esen.mdo,3417859,November-05-2012,Spanish-English,79775
esde.mdo,3209182,November-05-2012,Spanish-German,67941
esko.mdo,730732,November-05-2012,Spanish-Korean,20340
esru.mdo,6550946,November-05-2012,Spanish-Russian,75642
sven.mdo,844987,November-05-2012,Swedish-English,23400
tren.mdo,3797854,November-05-2012,Turkish-English,93906
trde.mdo,1275618,November-05-2012,Turkish-German,35976
trru.mdo,2996145,November-05-2012,Turkish-Russian,39028
uken.mdo,4042705,November-05-2012,Ukrainian-English,55904
ukru.mdo,3061431,November-05-2012,Ukrainian-Russian,55549
vien.mdo,1582751,November-05-2012,Vietnamese-English,23532
vifr.mdo,2609089,November-05-2012,Vietnamese-French,38350
vide.mdo,657030,November-05-2012,Vietnamese-German,11922
viru.mdo,1679312,November-05-2012,Vietnamese-Russian,35742
yien.mdo,238745,November-05-2012,Yiddish-English,9181
